big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name,item_code,item_name
1,鲜果类,104,桃类,10410,黄金桃,103871,A级-奉贤黄桃（大）
1,鲜果类,104,桃类,10410,黄金桃,103872,A级-奉贤黄桃（中）
1,鲜果类,104,桃类,10410,黄金桃,103873,A级-奉贤黄桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103881,B级-脆蜜桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103882,B级-脆蜜桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103883,B级-脆蜜桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103886,B级-脆蜜桃（个）
1,鲜果类,104,桃类,10416,雪桃,103891,A级-丽江雪桃（大）
1,鲜果类,104,桃类,10416,雪桃,103892,A级-丽江雪桃（中）
1,鲜果类,104,桃类,10416,雪桃,103893,A级-丽江雪桃（小）
1,鲜果类,104,桃类,10410,黄金桃,103901,A级-进口黄桃
1,鲜果类,105,柑桔类,10573,红肉蜜柚,10391,错误
1,鲜果类,104,桃类,10408,水蜜桃,103911,B级-春雪桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103912,B级-春雪桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103913,B级-春雪桃（小）
1,鲜果类,104,桃类,10403,油桃,103921,A级-黄肉油桃
1,鲜果类,104,桃类,10403,油桃,103922,B级-黄肉油桃（中）
1,鲜果类,104,桃类,10403,油桃,103923,C级-黄肉油桃
1,鲜果类,104,桃类,10408,水蜜桃,103931,A级-胭脂脆桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103932,A级-胭脂脆桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103933,A级-胭脂脆桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103941,A级-红玉脆桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103942,A级-红玉脆桃（中）
1,鲜果类,104,桃类,10408,水蜜桃,103943,A级-红玉脆桃（小）
1,鲜果类,104,桃类,10408,水蜜桃,103951,B级-红玉脆桃（大）
1,鲜果类,104,桃类,10408,水蜜桃,103952,B级-红玉脆桃（中）
