orgcode,orgdesc,storescode,storesname
szpszx,深圳区,0339,深圳市龙岗区金地名峰店
szpszx,深圳区,0340,深圳市龙岗区天颂雅苑店
szpszx,深圳区,0341,深圳市宝安区西荟城店
szpszx,深圳区,0342,深圳市罗湖区鸿景翠峰店
szpszx,深圳区,0343,深圳市福田区新闻路3店
szpszx,深圳区,0344,深圳市宝安区招商果岭店
szpszx,深圳区,0345,深圳市龙华新区水榭春天3店
szpszx,深圳区,0346,深圳市南山区学苑大道店
szpszx,深圳区,0347,深圳市宝安区沿河南路店
szpszx,深圳区,0349,深圳市龙岗区水岸新都店
szpszx,深圳区,0350,深圳市宝安区宝石南路店
szpszx,深圳区,0351,深圳市宝安区裕安二路店
szpszx,深圳区,0352,深圳市南山区侨城豪苑店
szpszx,深圳区,0353,深圳市罗湖区今日家园店
szpszx,深圳区,0354,深圳市盐田区中英街壹号店
szpszx,深圳区,0355,深圳福田区梅兴苑线上店
szpszx,深圳区,0356,深圳市福田区嘉洲富苑店
szpszx,深圳区,0357,深圳市红宝2店
szpszx,深圳区,0358,深圳市龙岗区东城国际店
szpszx,深圳区,0359,深圳市南山区万豪广场店
szpszx,深圳区,0360,深圳市福田区彩田村店
szpszx,深圳区,0361,深圳市光明新区正力时代广场店
szpszx,深圳区,0362,深圳市万科公园里店
szpszx,深圳区,0363,深圳市光明新区长春中路店
szpszx,深圳区,0364,深圳市宝安区金成时代店
szpszx,深圳区,0365,深圳市南山区麒麟花园店
szpszx,深圳区,0366,深圳市罗湖区螺岭店
szpszx,深圳区,0367,深圳市龙岗区罗岗路店
szpszx,深圳区,0368,深圳市福田区华强花园一体仓店
szpszx,深圳区,0369,深圳市宝安区中熙香缤山店
szpszx,深圳区,0370,深圳市宝安区金海路店
szpszx,深圳区,0371,深圳市福田区笔架山公馆店
szpszx,深圳区,0372,深圳市龙岗区翰邻城店
szpszx,深圳区,0373,深圳市福田区下沙广场店
szpszx,深圳区,0374,深圳市龙岗区万科天誉店
szpszx,深圳区,0375,深圳市龙华区丰泽湖山庄店
szpszx,深圳区,0376,深圳市宝安区天琴阁店
szpszx,深圳区,0377,深圳市龙岗区尚峰花园店
szpszx,深圳区,0378,深圳市龙华区懿花园店
szpszx,深圳区,0379,深圳市福田区香荔花园店
szpszx,深圳区,0380,深圳市龙岗区城市广场2店
szpszx,深圳区,0381,深圳市南山区万科云城店
szpszx,深圳区,0382,深圳市龙华新区幸福城店
szpszx,深圳区,0383,停用
szpszx,深圳区,0384,深圳市龙岗区新乐路店
szpszx,深圳区,0385,深圳市龙岗区龙城中央店 
szpszx,深圳区,0386,深圳市龙岗区麓园店
szpszx,深圳区,0387,深圳市龙岗区阳光花园店
szpszx,深圳区,0388,深圳市龙岗区喜悦里店
szpszx,深圳区,0389,深圳市南山区科技园一体仓店
szpszx,深圳区,0390,深圳市宝安区流塘阳光店
szpszx,深圳区,0391,深圳市宝安区勤诚达花园店
szpszx,深圳区,0392,深圳市龙岗区远洋新干线店
szpszx,深圳区,0393,深圳市南山区泛海拉菲店
szpszx,深圳区,0394,深圳市罗湖区绿茵庭苑店
szpszx,深圳区,0395,深圳市龙岗区保利上城店
szpszx,深圳区,0396,深圳市合正丹郡店
szpszx,深圳区,0397,深圳市宝安区芳晖园店
szpszx,深圳区,0398,深圳市福田区宝能公馆店
szpszx,深圳区,0399,深圳市宝安区熙龙湾店
szpszx,深圳区,0400,深圳市宝安区雍景城店
szpszx,深圳区,0401,深圳市光明新区光明大第店
szpszx,深圳区,0402,深圳市龙华区龙华公寓店
szpszx,深圳区,0403,深圳市龙岗区学府道花园店
szpszx,深圳区,0404,停用000
szpszx,深圳区,0405,深圳市南山区大冲店
szpszx,深圳区,0406,深圳市龙岗区恒大国香山店
szpszx,深圳区,0407,深圳市龙华区九方店
szpszx,深圳区,0408,深圳市宝安区中粮锦云店
szpszx,深圳区,0409,深圳市龙岗区万科紫悦山店
szpszx,深圳区,0410,深圳市福田区商会大厦店
szpszx,深圳区,0411,深圳市坪山区御景印象店
szpszx,深圳区,0412,深圳市宝安区石岩公学店
szpszx,深圳区,0413,深圳市宝安区白金假日店
